CONTAINER ID   IMAGE                                       COMMAND                  CREATED          STATUS          PORTS                                                                                                               NAMES
a7c6a0e31a3c   memcached                                   "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:11214->11211/tcp, :::11214->11211/tcp                                                                       p12g3-tianji_user-memcached_1
296c264201f2   mongo                                       "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:27018->27017/tcp, :::27018->27017/tcp                                                                       p12g3-tianji_social-graph-mongodb_1
bef205b4fea8   jaegertracing/all-in-one:latest             "/go/bin/all-in-one-…"   39 minutes ago   Up 39 minutes   5775/udp, 5778/tcp, 14250/tcp, 14268/tcp, 6831-6832/udp, 16686/tcp, 0.0.0.0:16685->16685/tcp, :::16685->16685/tcp   p12g3-tianji_jaeger-agent_1
09505369de9b   mongo                                       "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:27021->27017/tcp, :::27021->27017/tcp                                                                       p12g3-tianji_url-shorten-mongodb_1
c67576cd43af   redis                                       "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:6383->6379/tcp, :::6383->6379/tcp                                                                           p12g3-tianji_user-timeline-redis_1
eacc4c48a92a   redis                                       "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:6381->6379/tcp, :::6381->6379/tcp                                                                           p12g3-tianji_home-timeline-redis_1
166ad5663c8f   memcached                                   "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:11212->11211/tcp, :::11212->11211/tcp                                                                       p12g3-tianji_post-storage-memcached_1
8b526b067fc4   mongo                                       "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:27019->27017/tcp, :::27019->27017/tcp                                                                       p12g3-tianji_post-storage-mongodb_1
6565b2679f6f   mongo                                       "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:27020->27017/tcp, :::27020->27017/tcp                                                                       p12g3-tianji_user-timeline-mongodb_1
945e85735031   memcached                                   "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:11213->11211/tcp, :::11213->11211/tcp                                                                       p12g3-tianji_url-shorten-memcached_1
6103365467d3   memcached                                   "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:11215->11211/tcp, :::11215->11211/tcp                                                                       p12g3-tianji_media-memcached_1
7537b9b8c39c   redis                                       "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:6380->6379/tcp, :::6380->6379/tcp                                                                           p12g3-tianji_social-graph-redis_1
04e78f9c671a   mongo                                       "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:27024->27017/tcp, :::27024->27017/tcp                                                                       p12g3-tianji_media-mongodb_1
